Loan ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies
2e841c8f-3dc1-464d-91c1-3d3d51e64c38,Fully Paid,234124.0,Short Term,727.0,693234.0,Rent,Debt Consolidation,14211.24,24.7,10.0,1.0,28291.0,107052.0,1.0
24e8c8bd-d10b-4dac-8b81-1da470ff5ecb,Fully Paid,666204.0,Long Term,723.0,1821967.0,Home Mortgage,Debt Consolidation,17612.24,22.0,15.0,0.0,813694.0,2004618.0,0.0
41f7dd8d-bfdd-43de-859a-2ce215aa4c07,Fully Paid,390390.0,Short Term,747.0,1791738.0,Home Mortgage,Home Improvements,2478.55,22.7,6.0,0.0,121182.0,801812.0,0.0
150ebbad-ebed-441e-b70d-2f350ad7dca6,Charged Off,317108.0,Long Term,687.0,1133274.0,Rent,Debt Consolidation,9632.81,17.4,4.0,0.0,60287.0,126940.0,0.0
31ae42f6-7e92-46bf-97e9-fa25499162ba,Fully Paid,128238.0,Short Term,750.0,1354073.0,Rent,Debt Consolidation,13202.15,11.9,7.0,0.0,131936.0,458788.0,0.0
c7e2b784-016b-4fc4-8fde-623f09126557,Charged Off,153252.0,Short Term,714.0,1890690.0,Rent,Debt Consolidation,21900.35,15.7,12.0,0.0,891594.0,1081014.0,0.0
14c61ec2-6349-4d01-ba85-2daebfbf85d6,Fully Paid,91894.0,Short Term,724.0,850383.0,Home Mortgage,Debt Consolidation,5860.74,17.5,7.0,0.0,95608.0,230626.0,0.0
7aa649ff-b73b-4556-a4c3-a4d35762809a,Fully Paid,244926.0,Long Term,704.0,1249953.0,Home Mortgage,Debt Consolidation,6812.26,14.4,6.0,1.0,143051.0,245014.0,0.0
578c8e10-3214-4491-bdbc-b1695ef8ff87,Fully Paid,465410.0,Long Term,688.0,1722654.0,Rent,Buy House,15647.45,22.3,7.0,0.0,107559.0,488356.0,0.0
0c14cb77-29a3-4964-9198-0c43f5f982b0,Fully Paid,99999999.0,Short Term,724.0,1029857.0,Rent,Debt Consolidation,13817.18,12.0,6.0,0.0,138339.0,221232.0,0.0
18a7a019-6594-478c-b070-fb3b1c695587,Fully Paid,443960.0,Short Term,749.0,1432391.0,Home Mortgage,Debt Consolidation,25186.21,14.0,15.0,0.0,342475.0,905344.0,0.0
ccc6dadf-7530-4ca6-a679-a228ae478b5d,Fully Paid,99999999.0,Short Term,746.0,1749748.0,Home Mortgage,Debt Consolidation,19247.19,20.0,17.0,0.0,224390.0,295240.0,0.0
b762002d-4f8b-4eb0-a1c7-b1a9874fd997,Fully Paid,99999999.0,Short Term,737.0,1501912.0,Rent,Business Loan,31039.54,18.0,8.0,0.0,229349.0,469172.0,0.0
99826faa-9c45-438e-9ee5-0d7523cffc12,Fully Paid,334620.0,Short Term,729.0,1348620.0,Rent,Debt Consolidation,16913.99,20.0,16.0,0.0,313177.0,539616.0,0.0
feee8a68-5ddc-41a6-9d10-d5e3f2e4f7c6,Charged Off,130174.0,Short Term,733.0,524609.0,Rent,Debt Consolidation,9311.71,15.4,7.0,1.0,130701.0,268818.0,1.0
af76ed30-e663-4125-8749-3ff5e509cb37,Fully Paid,333564.0,Long Term,725.0,1248338.0,Home Mortgage,Debt Consolidation,18205.04,14.6,18.0,0.0,300979.0,515526.0,0.0
677c8cd8-efef-402a-8464-268f1d86fc5a,Fully Paid,125796.0,Short Term,745.0,1261068.0,Home Mortgage,Debt Consolidation,20597.33,24.5,13.0,0.0,684817.0,997414.0,0.0
01258b9b-bcac-4935-8fd5-cff308b65943,Fully Paid,99999999.0,Short Term,743.0,752039.0,Home Mortgage,Debt Consolidation,17046.23,14.1,10.0,0.0,213484.0,478126.0,0.0
d6946f18-5e64-41e6-ba92-ebff21fc5cee,Fully Paid,161172.0,Short Term,720.0,796499.0,Home Mortgage,Debt Consolidation,3404.99,22.6,6.0,1.0,114095.0,170038.0,0.0
f7db4043-3607-46fe-a421-edf3281eed7c,Fully Paid,449108.0,Short Term,718.0,1454507.0,Home Mortgage,Debt Consolidation,13090.43,28.8,14.0,0.0,193990.0,458414.0,0.0
21d019a9-dc53-40e9-9c88-1ec3378283fe,Charged Off,688468.0,Long Term,682.0,1494616.0,Rent,Debt Consolidation,14697.07,16.6,8.0,0.0,343995.0,843854.0,0.0
0c84b81a-e5a9-4a92-8dc8-fb179add03a4,Charged Off,288948.0,Short Term,7120.0,537472.0,Rent,Debt Consolidation,5777.9,14.8,4.0,0.0,132468.0,164406.0,0.0
93d2f093-833c-42a3-8879-05ab3bd73951,Fully Paid,311762.0,Long Term,680.0,2211657.0,Home Mortgage,Debt Consolidation,44601.74,14.5,11.0,0.0,213921.0,509652.0,0.0
f1586bd6-bda7-442c-af83-aabc8d079bba,Fully Paid,266112.0,Short Term,750.0,919296.0,Rent,Debt Consolidation,12946.79,21.6,9.0,0.0,266266.0,485518.0,0.0
2e30d6ea-3157-4537-99d9-f580eeaae1d5,Fully Paid,129712.0,Short Term,723.0,1465698.0,Own Home,Debt Consolidation,18199.15,19.4,34.0,1.0,45106.0,163218.0,0.0
f6f70cfd-5100-4e63-b3c5-fa602ed29e95,Fully Paid,287980.0,Short Term,737.0,1013954.0,Home Mortgage,Debt Consolidation,16138.6,18.6,11.0,0.0,223117.0,489302.0,0.0
17d0f2ec-c03f-4885-91a8-aa90830372b5,Fully Paid,439428.0,Short Term,710.0,1518024.0,Rent,Debt Consolidation,20923.56,17.8,11.0,0.0,209304.0,265716.0,0.0
1ee5e9de-290c-45f0-8ef2-445c98afc6f6,Charged Off,456808.0,Long Term,598.0,1096167.0,Own Home,Debt Consolidation,14341.39,14.1,8.0,0.0,161861.0,278058.0,0.0
56171b60-824e-46cf-8e39-3304427e84f4,Fully Paid,518012.0,Long Term,719.0,1193010.0,Own Home,Debt Consolidation,22667.38,20.9,11.0,0.0,452770.0,1080926.0,0.0
0daecc08-0354-4753-b282-52124b2420df,Charged Off,219692.0,Long Term,6610.0,527839.0,Rent,Debt Consolidation,14207.63,17.0,9.0,0.0,254277.0,379918.0,0.0
4ead58f0-0383-441a-b93d-a00c6baa74aa,Charged Off,374176.0,Long Term,652.0,1239199.0,Home Mortgage,other,5163.25,36.6,10.0,0.0,126350.0,415602.0,0.0
72322924-6242-4503-871f-501870761c91,Fully Paid,99999999.0,Long Term,730.0,2509520.0,Home Mortgage,Debt Consolidation,34714.9,40.8,12.0,0.0,733324.0,1035496.0,0.0
a4b4920d-48a4-424f-8386-1959f2f9ae86,Charged Off,176198.0,Short Term,736.0,1902090.0,Home Mortgage,Debt Consolidation,28372.89,15.4,9.0,0.0,206872.0,620554.0,0.0
a5ada080-a058-4ad2-8953-002b7ec1ae31,Charged Off,78012.0,Short Term,7380.0,728726.0,Rent,major_purchase,10135.36,11.4,8.0,0.0,104633.0,199936.0,0.0
f8dcf551-d7b6-4378-8a29-caa1b0a42e75,Fully Paid,669372.0,Short Term,725.0,2158210.0,Home Mortgage,Debt Consolidation,34711.29,9.2,17.0,0.0,496052.0,638176.0,0.0
4bcf4e06-60c7-4849-8c70-ada382fef5bb,Fully Paid,130922.0,Short Term,747.0,2261304.0,Rent,Debt Consolidation,9761.25,16.1,6.0,0.0,110428.0,235488.0,0.0
7e2870c0-998d-4d35-ab8f-df77d30a0b8a,Fully Paid,174548.0,Short Term,721.0,1620681.0,Rent,Take a Trip,30522.74,15.0,7.0,0.0,40489.0,128832.0,0.0
965909d3-09a6-410f-a30f-f25123010b3e,Charged Off,290224.0,Long Term,644.0,837045.0,Home Mortgage,Debt Consolidation,8230.99,18.3,11.0,0.0,176624.0,370480.0,0.0
de86c495-4052-43e9-b773-0b6597c41347,Fully Paid,718784.0,Long Term,672.0,1648915.0,Home Mortgage,Debt Consolidation,15664.74,12.0,10.0,0.0,252016.0,489610.0,0.0
a80790da-0712-4c82-ab49-753c7878c5a0,Fully Paid,602008.0,Long Term,741.0,2896721.0,Own Home,Debt Consolidation,48278.62,19.6,17.0,0.0,5246261.0,11887678.0,0.0
277db7a2-1644-460b-aa8b-36951e5514f2,Fully Paid,171248.0,Short Term,747.0,3035725.0,Home Mortgage,Debt Consolidation,42500.15,31.5,11.0,0.0,25460.0,151140.0,0.0
1704367e-1d71-4551-8d33-49aa15cab4b1,Charged Off,523908.0,Long Term,7370.0,1028774.0,Home Mortgage,Debt Consolidation,22632.99,19.3,5.0,0.0,474658.0,742720.0,0.0
426da1a8-2d65-4033-a00b-9dc40729ebda,Fully Paid,323466.0,Long Term,699.0,2048618.0,Home Mortgage,Debt Consolidation,27997.64,14.0,19.0,1.0,389994.0,743952.0,1.0
3e58847f-ecdf-4945-b7b7-d4141c35ab52,Fully Paid,144562.0,Short Term,751.0,1060922.0,Home Mortgage,Debt Consolidation,19750.88,21.8,7.0,0.0,314773.0,1035408.0,0.0
5463544a-4d55-402e-bdde-48a27644dfb2,Fully Paid,211222.0,Short Term,694.0,947625.0,Rent,Debt Consolidation,8923.35,18.0,9.0,1.0,93081.0,397694.0,1.0
67d1e3af-f5f1-41a0-8051-ebe452c3502b,Fully Paid,162360.0,Short Term,720.0,486875.0,Rent,Debt Consolidation,8560.83,15.1,16.0,0.0,129504.0,434654.0,0.0
ce3eb521-f562-4183-b307-276cd39f65f7,Fully Paid,99999999.0,Short Term,699.0,2770162.0,Home Mortgage,Debt Consolidation,48708.4,25.6,13.0,0.0,348802.0,449262.0,0.0
fd50c3d1-8d6d-410e-ba58-d3f1bcae6409,Fully Paid,311058.0,Long Term,675.0,1343167.0,Home Mortgage,Debt Consolidation,21378.8,31.4,11.0,0.0,247912.0,541596.0,0.0
3924da4c-a6f7-4852-8fa4-c0ed8a6e903d,Fully Paid,767536.0,Long Term,724.0,6628720.0,Home Mortgage,Debt Consolidation,53747.96,29.5,13.0,0.0,1426425.0,2510112.0,0.0
38c7f29b-fc9d-4674-be19-e0a4f1a9afc6,Fully Paid,389884.0,Short Term,657.0,4776125.0,Home Mortgage,Debt Consolidation,42985.22,21.5,14.0,1.0,237500.0,562386.0,1.0
11653c24-aa0a-4435-9ec7-4720d2bf4da8,Fully Paid,163966.0,Short Term,678.0,719910.0,Home Mortgage,Home Improvements,12778.26,6.4,9.0,1.0,66025.0,138248.0,0.0
333ea452-cc2d-41a5-9970-a011ea10d148,Fully Paid,433312.0,Short Term,736.0,1010401.0,Home Mortgage,Debt Consolidation,22228.86,16.1,19.0,0.0,201780.0,613228.0,0.0
9d2b2b18-c11e-4c01-9608-542d87f200d3,Fully Paid,99999999.0,Short Term,737.0,2015159.0,Home Mortgage,Debt Consolidation,21494.89,10.5,16.0,0.0,321214.0,478060.0,0.0
0e4489e9-f9c0-4a8b-9e1b-818fcdfa5956,Fully Paid,99999999.0,Short Term,748.0,1875680.0,Rent,other,9393.98,13.0,14.0,0.0,232674.0,1353858.0,0.0
b97f1dad-69b8-4971-ae26-0a4e774239a8,Fully Paid,89320.0,Short Term,748.0,1832075.0,Home Mortgage,Other,13312.92,19.0,6.0,0.0,127946.0,216260.0,0.0
5bc5f041-9d56-4ed0-af6a-37d12daa5c49,Fully Paid,392282.0,Long Term,688.0,974662.0,Home Mortgage,Debt Consolidation,10396.42,12.0,11.0,0.0,35663.0,242946.0,0.0
37b7adb4-8f90-4ddf-813c-813e34dda68a,Fully Paid,262988.0,Short Term,743.0,1340279.0,Rent,Debt Consolidation,9348.38,28.2,9.0,0.0,499548.0,681296.0,0.0
1e59ad24-1924-46bb-ab5f-d507d795fa5d,Fully Paid,498586.0,Long Term,666.0,1351679.0,Rent,Other,32214.88,12.2,15.0,0.0,205637.0,433686.0,0.0
8873a073-d23d-49a9-9b44-381e04fb118b,Fully Paid,378334.0,Short Term,714.0,2120514.0,Rent,Debt Consolidation,35695.3,17.0,12.0,0.0,75335.0,413402.0,0.0
cf95346d-6bc9-4b10-8383-b42342da886c,Fully Paid,99999999.0,Short Term,734.0,1355802.0,Rent,Debt Consolidation,15365.68,44.5,8.0,0.0,25441.0,1841796.0,0.0
df9ae7ca-d33b-4abc-b2ec-c6455f7a5cc6,Charged Off,194942.0,Short Term,742.0,1212238.0,Rent,Debt Consolidation,25254.99,27.4,13.0,1.0,176396.0,339834.0,1.0
25dc64d4-1fbb-4f93-9f2b-6d60fb75eea3,Fully Paid,731566.0,Short Term,705.0,1377443.0,Home Mortgage,Debt Consolidation,13429.96,20.4,18.0,0.0,563008.0,1070432.0,0.0
9270a0f9-c873-4cff-b8d6-63b5377a0340,Fully Paid,156772.0,Short Term,748.0,1411966.0,Home Mortgage,Home Improvements,22591.38,18.0,10.0,0.0,38456.0,251548.0,0.0
4cfa482a-57c2-4856-ab26-a8af32adaa3f,Fully Paid,158818.0,Short Term,731.0,315666.0,Own Home,Debt Consolidation,8522.83,31.3,13.0,2.0,260072.0,756646.0,0.0
87260afa-a95d-4507-9db0-c8eeb5db5aef,Charged Off,78738.0,Short Term,6240.0,536370.0,Rent,other,14034.92,10.5,14.0,0.0,138586.0,266112.0,0.0
10da47ac-d3ce-461c-bf95-1b9d0cac176f,Fully Paid,453464.0,Short Term,712.0,895147.0,Rent,Debt Consolidation,17007.85,14.2,12.0,1.0,137845.0,222926.0,1.0
65eff4d6-e64b-405f-abe9-b8e0c273397c,Fully Paid,595672.0,Short Term,685.0,1305927.0,Rent,Debt Consolidation,13603.43,25.9,8.0,0.0,108148.0,129624.0,0.0
9239bc63-b054-475a-bb83-b631e62685b4,Fully Paid,166672.0,Short Term,705.0,1048667.0,Home Mortgage,Debt Consolidation,16166.91,16.0,10.0,0.0,167656.0,267014.0,0.0
29cf8611-c24d-4ad2-a3b5-2dadd9b7850f,Fully Paid,132792.0,Short Term,751.0,668990.0,Rent,other,6132.25,14.7,5.0,0.0,61199.0,214742.0,0.0
e67fc85b-55e8-4961-9199-8ae4610b2e24,Charged Off,119504.0,Short Term,745.0,938315.0,Home Mortgage,Buy House,11807.17,13.0,11.0,0.0,32300.0,104170.0,0.0
5cfed06e-4876-4098-b368-984806f1cee1,Fully Paid,33022.0,Short Term,723.0,1673007.0,Rent,Debt Consolidation,25234.47,23.3,13.0,0.0,125609.0,323928.0,0.0
9041f59a-e02d-40e1-a6ef-60dce86ca5c9,Fully Paid,448976.0,Short Term,742.0,4071396.0,Home Mortgage,Debt Consolidation,10348.16,19.7,7.0,0.0,486001.0,1253340.0,0.0
9cca9017-f068-40d9-bc1f-b3628215b25c,Fully Paid,280588.0,Short Term,717.0,671080.0,Rent,Debt Consolidation,17447.89,10.0,10.0,1.0,168169.0,470360.0,1.0
15d95766-83b9-4218-aea1-b7d8bb023d43,Charged Off,556336.0,Long Term,714.0,1402960.0,Home Mortgage,Debt Consolidation,19524.4,19.5,5.0,0.0,317338.0,389246.0,0.0
9c4fc474-8aa1-4a3b-9d18-818bb81c6b0c,Fully Paid,541310.0,Short Term,722.0,1682982.0,Home Mortgage,Debt Consolidation,52733.36,17.9,13.0,0.0,356288.0,619432.0,0.0
206c7b26-db44-4c00-a637-3fcb931b3138,Fully Paid,311872.0,Long Term,680.0,1063810.0,Home Mortgage,Debt Consolidation,28191.06,12.2,10.0,0.0,391723.0,591338.0,0.0
76fa89b9-e6a8-49af-afa1-8151315aba8e,Fully Paid,340604.0,Long Term,618.0,928701.0,Home Mortgage,Debt Consolidation,21205.52,14.4,5.0,0.0,291137.0,368808.0,0.0
296ccd77-325c-4c02-a2ce-d7aff95ff7a5,Charged Off,765160.0,Long Term,719.0,2643242.0,Home Mortgage,Debt Consolidation,34582.47,20.5,19.0,0.0,249755.0,489302.0,0.0
856c1ab9-2294-43a2-8121-efae82cd595c,Charged Off,109802.0,Short Term,745.0,474069.0,Rent,Debt Consolidation,1497.39,11.0,2.0,0.0,91048.0,186604.0,0.0
fbeb20b4-19e7-407c-8bb7-a6cb41cca2cb,Charged Off,349756.0,Long Term,737.0,2491945.0,Rent,Debt Consolidation,23258.28,21.5,7.0,0.0,270332.0,660396.0,0.0
cce5ecac-8760-4a74-a326-e11b56611bac,Fully Paid,545886.0,Short Term,718.0,1565182.0,Rent,Debt Consolidation,41477.0,15.0,16.0,0.0,80465.0,296714.0,0.0
7668e8bf-63f4-4d29-b548-0ca9a78d888c,Fully Paid,99999999.0,Short Term,750.0,2435667.0,Rent,Debt Consolidation,31257.66,12.3,10.0,0.0,72276.0,1073028.0,0.0
279abc8f-8495-48ec-8ec3-4aa931eb4990,Fully Paid,354046.0,Long Term,676.0,1815469.0,Home Mortgage,Home Improvements,5522.16,13.0,6.0,0.0,20976.0,70840.0,0.0
f2b96316-4901-44ad-b4af-904ce5c2c03a,Fully Paid,472098.0,Long Term,692.0,2316575.0,Rent,Debt Consolidation,24517.22,28.2,9.0,0.0,454176.0,968506.0,0.0
a7e3baae-3dd8-46f4-a34c-c3e3971cdba3,Charged Off,86174.0,Short Term,7210.0,837311.0,Home Mortgage,Debt Consolidation,10884.91,13.6,15.0,0.0,360867.0,671770.0,0.0
a20abdda-6a28-444d-a731-ac37cdad12ca,Charged Off,509586.0,Long Term,678.0,1816001.0,Rent,Debt Consolidation,26180.67,13.9,32.0,1.0,115672.0,319638.0,1.0
1bbbdaa8-a43d-4371-ad48-8f341a267fa0,Fully Paid,99999999.0,Short Term,709.0,1806083.0,Home Mortgage,Debt Consolidation,29348.92,16.1,22.0,0.0,492556.0,724680.0,0.0
59d28b2c-d66d-4cef-b04a-4de6c8d8a8b8,Fully Paid,218988.0,Short Term,740.0,775409.0,Home Mortgage,Debt Consolidation,8141.88,14.9,5.0,0.0,100206.0,186230.0,0.0
7f7cc7f8-dfd8-4503-beb7-88fd323f18a8,Fully Paid,328262.0,Short Term,746.0,1133958.0,Rent,Debt Consolidation,20411.32,10.2,10.0,0.0,229463.0,472758.0,0.0
98aac514-3050-423d-b1c5-ec325413c441,Charged Off,663168.0,Long Term,732.0,1527296.0,Home Mortgage,Debt Consolidation,22145.83,17.0,8.0,0.0,331075.0,543774.0,0.0
0b23f73f-0b61-4188-b468-55c24da09b9d,Fully Paid,133078.0,Short Term,709.0,804460.0,Rent,Debt Consolidation,9117.34,12.5,10.0,0.0,111568.0,243760.0,0.0
be270567-d3c1-44b1-b2f8-24c39b6ff821,Fully Paid,99999999.0,Short Term,742.0,1359792.0,Rent,Debt Consolidation,17224.07,10.7,8.0,0.0,57000.0,150678.0,0.0
462748a7-7b3e-4e65-aae4-cedddfc95fa8,Fully Paid,752290.0,Long Term,649.0,2320375.0,Rent,Debt Consolidation,39252.86,13.4,13.0,0.0,431053.0,513502.0,0.0
475d953a-a252-436e-b712-9ac4c8ee930a,Fully Paid,99999999.0,Short Term,734.0,622991.0,Own Home,Debt Consolidation,8046.88,10.7,15.0,0.0,69179.0,238370.0,0.0
f47489b5-9dca-4900-acac-9bece0d675fd,Fully Paid,262724.0,Long Term,695.0,1229072.0,Rent,Debt Consolidation,21508.76,21.8,5.0,0.0,337725.0,394218.0,0.0
8cc6d0be-d411-4b8f-bdc2-c26e113515a9,Fully Paid,54076.0,Short Term,744.0,485697.0,Rent,Debt Consolidation,2655.06,9.0,6.0,0.0,19988.0,282260.0,0.0
8d6b5050-fb2d-4241-bdba-9e7d531cb197,Charged Off,552882.0,Long Term,686.0,1262151.0,Rent,Debt Consolidation,23770.71,23.4,13.0,0.0,299706.0,694056.0,0.0
a834178f-be4b-4fe0-8441-46e5e7b5a31e,Charged Off,402534.0,Short Term,741.0,3090160.0,Rent,Debt Consolidation,23639.8,19.6,15.0,0.0,691467.0,1332188.0,0.0
26732d68-bf40-4041-a7fc-32893ba51a5c,Charged Off,232716.0,Short Term,637.0,1049427.0,Rent,Home Improvements,12942.99,9.5,20.0,0.0,226442.0,389026.0,0.0
aa8fd231-a19c-4b3c-8abe-75f364f7aa26,Fully Paid,286462.0,Long Term,719.0,1380426.0,Home Mortgage,Debt Consolidation,27378.62,15.7,10.0,0.0,177916.0,335522.0,0.0
7fe7e42f-37dd-4a13-b371-3d35a012f178,Fully Paid,223256.0,Short Term,740.0,804916.0,Home Mortgage,Debt Consolidation,6774.64,34.4,13.0,0.0,308142.0,587818.0,0.0
01b645c9-7eaa-4403-ae13-18563bfce3ed,Fully Paid,348832.0,Long Term,704.0,497306.0,Rent,Debt Consolidation,3257.36,13.0,4.0,0.0,90022.0,167860.0,0.0
181ba1f9-5dc9-4d76-bffd-0b103fca6297,Fully Paid,537878.0,Short Term,743.0,1296807.0,Home Mortgage,Debt Consolidation,24963.53,18.4,12.0,0.0,249223.0,515306.0,0.0
cb0b882b-cac7-455c-bc35-24f2ef0775d7,Fully Paid,196460.0,Short Term,746.0,942590.0,Home Mortgage,Debt Consolidation,15160.1,23.5,8.0,0.0,138700.0,410718.0,0.0
e8283bff-046a-4655-a90a-8ed060e8df8e,Fully Paid,214786.0,Short Term,723.0,883329.0,Home Mortgage,Debt Consolidation,11924.97,14.3,5.0,0.0,154755.0,193314.0,0.0
5c2cc96f-159d-42ce-8ca0-f6cf1995119f,Fully Paid,109538.0,Short Term,697.0,567606.0,Home Mortgage,Debt Consolidation,5770.68,14.3,10.0,0.0,86716.0,151206.0,0.0
6ceefb17-6949-441f-86fa-ac63be965855,Fully Paid,117986.0,Short Term,694.0,1886890.0,Rent,Debt Consolidation,3207.77,12.0,7.0,0.0,80408.0,351296.0,0.0
6b68fc88-02db-442a-b5a1-c1d47e345c16,Fully Paid,133804.0,Short Term,725.0,1386734.0,Home Mortgage,Business Loan,16756.48,13.6,11.0,0.0,105450.0,260898.0,0.0
1e963723-3b87-4175-b50b-39f5bee8c9a5,Fully Paid,87846.0,Short Term,736.0,625879.0,Own Home,Debt Consolidation,6988.96,50.1,16.0,0.0,96330.0,714978.0,0.0
a2b7e7bc-59fa-4428-bd62-7eda96f5e749,Charged Off,332684.0,Long Term,722.0,881087.0,Home Mortgage,Debt Consolidation,12702.26,14.5,9.0,0.0,472226.0,640266.0,0.0
932aa46f-27ae-4cf9-9e5f-ce44b09e8e20,Fully Paid,190498.0,Short Term,706.0,892164.0,Rent,Debt Consolidation,8996.12,13.2,6.0,0.0,88160.0,117744.0,0.0
5b0a29a8-1a48-46d2-809d-28f6e4f91fba,Fully Paid,448822.0,Short Term,741.0,1027444.0,Home Mortgage,Debt Consolidation,21576.4,33.1,8.0,0.0,669028.0,981838.0,0.0
9846d9f5-8d8f-49cb-bf77-33d3d0f56160,Fully Paid,229086.0,Short Term,715.0,787626.0,Rent,Debt Consolidation,6543.79,23.9,7.0,1.0,71231.0,152460.0,1.0
108c8c56-4e1a-41b1-bd30-a44123d92dc8,Charged Off,393558.0,Long Term,678.0,2317392.0,Own Home,Debt Consolidation,22015.3,14.7,8.0,0.0,124184.0,145552.0,0.0
580b6472-e12f-4a9f-9217-3da6a3fb1f2a,Fully Paid,151954.0,Short Term,707.0,562419.0,Rent,Debt Consolidation,14341.77,12.5,9.0,1.0,107692.0,219142.0,0.0
57500f65-6c77-445a-9ef3-4c571927c3d4,Fully Paid,99999999.0,Short Term,726.0,1153851.0,Rent,Debt Consolidation,7125.0,13.5,7.0,0.0,165984.0,286440.0,0.0
9c76d145-55e7-4d3b-8a69-f65b5f0add31,Fully Paid,254562.0,Short Term,738.0,669123.0,Rent,Debt Consolidation,13549.66,17.5,13.0,0.0,261383.0,743600.0,0.0
4d80c73f-7337-4fef-b1b1-d3caefda27ea,Charged Off,87912.0,Short Term,7500.0,960184.0,Rent,Debt Consolidation,3432.73,43.3,9.0,0.0,86051.0,301026.0,0.0
dfe25a0c-4a59-45a8-be6b-02848b0fa24f,Charged Off,156178.0,Short Term,716.0,1124040.0,Rent,Other,8617.64,12.0,9.0,5.0,6194.0,108790.0,0.0
bf331ed5-dcb7-4428-968d-9d328717f7b2,Fully Paid,645018.0,Long Term,737.0,2692471.0,Home Mortgage,Debt Consolidation,40386.97,24.0,21.0,0.0,640376.0,1468302.0,0.0
6d1968cd-f851-4b1f-8e38-dca77e9f815d,Fully Paid,605726.0,Short Term,748.0,3609145.0,Home Mortgage,Debt Consolidation,43610.7,23.0,10.0,0.0,378423.0,475772.0,0.0
14adbdff-27ca-43e2-9087-aab565be712e,Fully Paid,99999999.0,Short Term,741.0,1288523.0,Home Mortgage,Debt Consolidation,9041.34,16.2,4.0,0.0,95855.0,116468.0,0.0
cf253a51-88a0-46bd-8d82-5348d151dab5,Charged Off,168300.0,Long Term,7020.0,688522.0,Rent,other,11762.14,17.0,9.0,0.0,128041.0,273042.0,0.0
145b0f38-135f-4938-9d0b-bb078710fc46,Fully Paid,174460.0,Short Term,723.0,1318429.0,Own Home,Other,10547.47,15.0,14.0,0.0,55176.0,443586.0,0.0
c1c3cba8-0875-41eb-8211-d43f534e6ffc,Fully Paid,768394.0,Long Term,651.0,1651252.0,Home Mortgage,Debt Consolidation,19264.67,29.2,6.0,0.0,421420.0,559592.0,0.0
8d6b94ba-d605-4336-b8af-773d83fac618,Fully Paid,314226.0,Long Term,723.0,2638454.0,Home Mortgage,other,34959.43,18.2,10.0,0.0,662815.0,969034.0,0.0
f002c1ad-994f-41bd-88ae-e2d68cb9878d,Fully Paid,64966.0,Short Term,723.0,1224968.0,Home Mortgage,other,23172.21,44.0,16.0,0.0,858154.0,1344574.0,0.0
d92b33df-3c9d-4e44-be6d-936efa6a1784,Fully Paid,300366.0,Short Term,730.0,833188.0,Home Mortgage,Debt Consolidation,13400.32,17.9,7.0,0.0,179721.0,338932.0,0.0
